match_id,id,minute,second,team,player,x,y,shot_body_part,shot_type,shot_first_time,shot_aerial_won,under_pressure,is_goal,shot_one_on_one
3879760,84955996-b3be-463c-9e38-ad244fe858c2,61,48,Palermo,Franco Damián Vázquez,114.2,45.9,Left Foot,Open Play,,,,0,True
3879760,8be9ffc2-2345-4a03-9506-a76a7014b658,69,56,Bologna,Mattia Destro,101.2,41.2,Right Foot,Open Play,,,True,0,
3879760,0e003eb6-2b30-41fe-9bea-1b2b4ca2108b,72,1,Bologna,Mattia Destro,103.1,48.2,Right Foot,Open Play,True,,True,0,
3879760,342d837e-f693-4ba8-b973-aeb0246ffe08,73,17,Bologna,Mattia Destro,112.5,32.4,Left Foot,Open Play,True,,True,0,
3879760,2ba17471-7d02-48a4-9429-1571e5ded443,76,29,Palermo,Aleksandar Trajkovski,110.7,57.1,Right Foot,Open Play,,,True,0,
3879760,a4c85008-0a26-4f18-96a8-a856f8915262,76,56,Bologna,Mattia Destro,107.8,31.6,Left Foot,Open Play,,,True,0,
3879760,9fdcdd32-6712-4dd8-add9-0d65ba33da49,77,52,Bologna,Emanuele Giaccherini,94.2,38.4,Right Foot,Open Play,,,,0,
3879760,9556bab8-4c33-4b89-8159-d8dfe9c39e3b,80,13,Bologna,Godfred Donsah,109.8,57.0,Right Foot,Open Play,,,True,0,
3879760,98693454-d36f-4223-96f3-1e24b7d34e70,92,51,Bologna,Franco Brienza,89.0,37.2,Left Foot,Open Play,,,,0,
3879759,5335f6ab-9fdc-410e-b77c-26f8ff8c6403,4,3,Juventus,Anderson Hernanes de Carvalho Andrade,91.4,29.4,Left Foot,Open Play,,,True,0,
3879759,27a6ad84-5082-4890-88ef-0a9fbdceee6d,6,29,Juventus,Paulo Bruno Exequiel Dybala,109.9,38.6,Left Foot,Open Play,True,,,0,
3879759,66f365e3-3d41-41ef-87b3-ea6e66e05aaa,7,11,Juventus,Anderson Hernanes de Carvalho Andrade,93.6,39.4,Right Foot,Open Play,,,,0,
3879759,1e6bf105-a645-42d6-947c-9caf6a13ebf3,8,37,Juventus,Mario Mandžukić,113.9,30.5,Right Foot,Open Play,True,,,0,
3879759,82aad80c-2359-4dc9-af2a-79c7ab7e3347,13,56,Juventus,Anderson Hernanes de Carvalho Andrade,90.0,50.1,Right Foot,Open Play,True,,True,0,
3879759,c334e059-f783-4cf0-8a08-a1dea23151fe,16,22,Inter Milan,Danilo D''Ambrosio,113.6,54.3,Right Foot,Open Play,True,,,0,
3879759,0149304a-0440-48c9-a785-4d135596e192,18,7,Juventus,Mario Mandžukić,109.2,37.6,Head,Open Play,,True,True,0,
3879759,1dda6e6c-2bd3-4a72-9d97-c2e391d86ea1,37,59,Inter Milan,Geoffrey Kondogbia,91.5,43.5,Left Foot,Open Play,,,,0,
3879759,11df1ef4-0370-4c8b-8935-28b213d8eb7b,46,9,Juventus,Leonardo Bonucci,115.8,47.2,Right Foot,Open Play,True,,,1,
3879759,92978b4b-fc53-4a9f-9e65-c5f84e229982,51,15,Juventus,Paulo Bruno Exequiel Dybala,105.3,36.3,Left Foot,Open Play,True,,,0,
3879759,ea2a0bdd-28a2-4f7e-bea7-5ac395f42a8a,59,6,Inter Milan,Alex Nicolao Telles,111.1,22.6,Left Foot,Open Play,,,True,0,
3879759,78de9e3a-35cf-4c6c-bad1-e23f08718898,63,53,Inter Milan,Adem Ljajić,95.5,18.4,Right Foot,Open Play,,,,0,
3879759,aab63a7a-020f-47da-b522-f1a1031c1145,83,35,Juventus,Álvaro Borja Morata Martín,108.0,40.0,Right Foot,Penalty,,,,1,
3879759,50b5e55f-5bf9-4e47-9908-885d87f26894,88,8,Inter Milan,Adem Ljajić,87.5,45.9,Right Foot,Free Kick,,,,0,
3879759,6e2d7cbe-b980-4fd6-ac75-d1117f74f6e1,88,11,Inter Milan,João Miranda de Souza Filho,114.9,28.3,Left Foot,Open Play,,,,0,
3879759,4f0751c5-c5b8-47fd-b0cd-625b502accf7,90,6,Inter Milan,Eder Citadin Martins,108.8,30.5,Right Foot,Open Play,,,True,0,
3879759,45f75958-5242-413b-a0f5-ef35c3bc664f,94,54,Inter Milan,Ivan Perišić,97.4,27.6,Right Foot,Open Play,True,,,0,
3879758,bb225056-8343-465f-91ec-dfa4079b00c7,1,52,Torino,Andrea Belotti,102.8,38.5,Right Foot,Open Play,,,,0,
3879758,d85d1c78-4afa-4ed2-8bd8-4707ffad4c71,7,26,AC Milan,Alex Rodrigo Dias da Costa,107.4,46.4,Head,Open Play,,,,0,
3879758,8d047436-6bfc-4bbb-ae72-e7b8d9abc83a,11,10,AC Milan,Keisuke Honda,101.6,57.7,Left Foot,Open Play,,,,0,
3879758,fb506dcf-56d6-45f1-883e-d671b6971296,13,12,Torino,Ciro Immobile,112.4,65.1,Right Foot,Open Play,True,,,0,
3879758,9badac98-ddcd-4400-bc73-f6b7aa6a9e5a,18,52,Torino,Kamil Glik,109.2,36.9,Head,Open Play,,True,True,0,
3879758,f67e7d46-8e34-4dda-86f1-4872861142ce,23,20,Torino,Afriyie Acquah,90.1,38.1,Right Foot,Open Play,,,,0,
3879758,161c61b5-bb72-41eb-9fa1-808b4b849676,26,1,AC Milan,Keisuke Honda,95.5,52.3,Left Foot,Free Kick,,,,0,
3879758,58edb803-5db7-4365-9416-1d8ef97e08db,26,17,AC Milan,Juraj Kucka,99.8,43.4,Right Foot,Open Play,True,,True,0,
3879758,2efdb4f4-1ed0-44ef-b827-fa79b4abf094,28,33,Torino,Ciro Immobile,111.6,49.9,Right Foot,Open Play,,,,0,True
3879758,61e06fd8-04a4-4226-9a3a-9ac043cc8a7e,34,49,AC Milan,Giacomo Bonaventura,102.0,32.1,Right Foot,Open Play,True,,,0,
3879758,28e14b8c-2090-4f37-b4fe-22d363ec0f19,35,20,AC Milan,Alex Rodrigo Dias da Costa,111.9,39.8,Head,Open Play,,True,True,0,
3879758,8e0d7054-149f-48d8-99fe-db5a2272868a,38,10,AC Milan,M''Baye Babacar Niang,100.5,41.5,Right Foot,Open Play,True,,,0,
3879758,9a3b266f-7735-4460-bb5d-94b574737e02,40,44,AC Milan,Carlos Arturo Bacca Ahumada,110.3,41.6,Head,Open Play,,,,0,
3879758,5b72a8e4-4c83-44a7-b3c2-3add4b4fde47,43,27,AC Milan,Keisuke Honda,93.1,41.5,Left Foot,Free Kick,,,,0,
3879758,de3b6e82-f65a-4c12-b9e1-664dadc7b49c,43,29,AC Milan,Juraj Kucka,105.4,38.6,Left Foot,Open Play,True,,,0,
3879758,684f3346-4aa8-4559-9e4f-63cd14f31f8e,43,59,AC Milan,Juraj Kucka,109.1,46.3,Head,Open Play,,True,True,0,
3879758,38f4ee50-fef0-4a00-9647-e400858be347,44,0,AC Milan,Luca Antonelli,112.4,46.1,Left Foot,Open Play,True,,True,1,
3879758,d75e4b2e-c3a9-44ff-91d3-f024dc95332c,47,17,Torino,Bruno da Silva Peres,91.7,27.2,Right Foot,Open Play,,,True,0,
3879758,7bddc3a6-aa5e-46c2-8dfd-f3020574f084,54,52,AC Milan,Juraj Kucka,108.4,52.5,Right Foot,Open Play,,,,0,
3879758,01d78e0b-a0a0-4984-8bc4-acc0eaf7ffe8,57,40,AC Milan,Giacomo Bonaventura,104.7,30.1,Right Foot,Open Play,,,,0,
3879758,f4717d10-7a6c-47ed-b4a3-e9f4626e5f21,58,45,AC Milan,Andrea Bertolacci,98.4,42.1,Right Foot,Open Play,,,,0,
3879758,9bcf276d-ae46-4ec6-a753-38f713b6bc94,59,13,AC Milan,Keisuke Honda,94.9,54.6,Left Foot,Open Play,,,,0,
3879758,31ec9ed0-cbbe-476e-9b10-15dc400066ca,60,26,AC Milan,Luca Antonelli,111.5,39.5,Head,Open Play,,True,True,0,
3879758,ed7176dd-4591-45ce-bb5b-8d47376e152e,63,25,AC Milan,Ignazio Abate,93.4,42.9,Right Foot,Open Play,True,,,0,
3879758,6b440257-dad5-4441-8f5f-1d26d28a3e82,70,38,Torino,Bruno da Silva Peres,106.7,25.6,Left Foot,Open Play,,,,0,
3879758,8f3891eb-eba2-4844-a14d-33543d2af497,71,28,Torino,Ciro Immobile,100.2,52.9,Right Foot,Open Play,,,,0,
3879758,95a62eb6-5004-4671-80c5-10d96655cb55,71,53,Torino,Kamil Glik,108.0,36.3,Head,Open Play,,,,0,
3879758,f45f4bfc-8ae5-4ffc-8031-129fdafd2bc1,74,39,AC Milan,Kevin-Prince Boateng,85.9,31.3,Right Foot,Open Play,,,,0,
3879758,6940fc46-b94a-4fa0-a762-d5a9a68aba21,85,13,Torino,Andrea Belotti,92.2,55.4,Left Foot,Open Play,,,,0,
3879758,a93dc8d1-1c7f-4707-9651-5c0d3f4ce196,87,8,Torino,Afriyie Acquah,87.2,25.0,Right Foot,Open Play,,,,0,
3879757,e08a753f-347a-4970-af8e-655fc7211636,4,48,AS Roma,Stephan El Shaarawy,89.0,38.4,Right Foot,Open Play,,,,1,
3879757,64d8ed45-347e-4325-bcdd-4a5313cec3fc,14,21,Empoli,Manuel Pucciarelli,92.1,45.0,Right Foot,Open Play,,,,0,
3879757,06ab3602-89d1-4bb1-b382-02f48acb69a4,15,22,Empoli,Massimo Maccarone,110.9,24.1,Left Foot,Open Play,,,,0,True
3879757,e40fa696-b04a-4be3-844d-329ee04be8d6,17,18,Empoli,Lorenzo Ariaudo,106.7,42.1,Right Foot,Open Play,True,,,0,
3879757,742d66c3-c10f-481f-9ea9-64c6b9f1e40f,23,39,AS Roma,Radja Nainggolan,101.4,43.2,Right Foot,Open Play,True,,,0,
3879757,1cee9bc1-3d95-487b-a3bc-16f8a716b4ff,24,13,AS Roma,Antonio Rüdiger,104.8,43.6,Head,Open Play,,,,0,
3879757,b69257ae-896b-45d1-a2f4-ffb566525147,26,45,AS Roma,Miralem Pjanić,98.2,35.9,Right Foot,Free Kick,,,,0,
3879757,442a003b-0dda-4d67-afb2-f75bbea4d55d,26,46,AS Roma,Miralem Pjanić,100.1,36.5,Right Foot,Open Play,True,,,1,
3879757,cbc621a1-0b15-4414-89ef-c9f358b8c5cb,41,32,AS Roma,Maicon Douglas Sisenando,94.7,58.7,Right Foot,Open Play,,,,0,
3879757,71d22464-128d-4880-acac-fd1ead478f9a,42,47,Empoli,Rade Krunić,106.7,33.5,Right Foot,Open Play,True,,,0,
3879757,7b1aa50e-568b-4b3b-aede-41492b3f8d25,47,7,AS Roma,Iago Falqué Silva,98.5,19.1,Left Foot,Open Play,,,,0,
3879757,9bc81e7a-3174-4f99-9bf7-040dec522a36,49,10,AS Roma,Stephan El Shaarawy,102.5,31.9,Right Foot,Open Play,,,True,0,
3879757,93625860-72ff-4570-a835-729dcec2cbf7,54,36,AS Roma,Miralem Pjanić,85.3,41.3,Right Foot,Open Play,True,,,0,
3879757,de260f75-822a-4ab1-891b-b9668417b2e7,57,12,Empoli,Massimo Maccarone,110.6,35.5,Right Foot,Open Play,True,,,0,
3879757,334e4163-e2b0-45b2-a8d1-67f48535939b,64,21,AS Roma,Stephan El Shaarawy,95.9,41.4,Right Foot,Open Play,True,,True,0,
3879757,b0b7c502-4155-4dff-b181-34a95c0ff7d8,70,25,Empoli,Leandro Daniel Paredes,84.3,54.1,Right Foot,Open Play,,,,0,
3879757,fb91b150-0681-441c-8325-b44fd3bcd0b9,73,3,AS Roma,Mohamed Salah,101.6,27.5,Left Foot,Open Play,True,,,0,
3879757,08510a37-61ce-4e9b-a052-2805e8a1f732,73,6,AS Roma,Stephan El Shaarawy,111.5,44.8,Right Foot,Open Play,True,,,1,
3879757,3af99a9c-ee1b-4a6c-939c-14dff99abb43,79,14,Empoli,Marko Livaja,92.7,30.5,Right Foot,Open Play,,,,0,
3879757,2021a7ae-45f2-4015-8b14-5b599cfb1228,83,3,Empoli,Levan Mchedlidze,89.2,40.9,Left Foot,Open Play,True,,,0,
3879757,dd30888f-e8f7-4875-8df7-dcc96975621b,83,31,AS Roma,Mohamed Salah,97.5,50.0,Left Foot,Open Play,,,,0,
3879757,3aa5966f-55b9-4372-aaca-5a91beea2f10,92,14,AS Roma,Edin Džeko,108.8,35.9,Left Foot,Open Play,True,,True,0,
3879757,2ca6d77a-8640-4405-991a-359f6212cf8d,94,51,AS Roma,Mohamed Salah,96.2,54.1,Left Foot,Open Play,,,,0,
3879755,6636f22b-ed1c-410b-814d-5e4c43b52c91,1,59,Frosinone,Danilo Soddimo,105.6,27.6,Right Foot,Open Play,,,,0,
